150    -80.0024      126.509	80.5953
150    -79.5021      125.8	81.6962
149    -79.0019      124.249	82.2389
148    -78.5017      122.697	82.7608
151    -78.0014      124.443	85.5275
155    -77.5012      126.968	88.9045
160    -77.001      130.258	92.9126
156    -76.5007      126.207	91.6946
153    -76.0005      122.99	91.008
153    -75.5002      122.191	92.0777
150    -75      119.003	91.3142
152    -74.4998      119.778	93.5805
152    -73.9995      118.956	94.6222
155    -73.4993      120.458	97.5446
155    -72.999      119.602	98.592
2053    -72.4988      1572.69	1319.64
2040    -71.9986      1551.23	1324.87
2027    -71.4983      1529.8	1329.83
2020    -70.9981      1512.89	1338.49
2011    -70.4979      1494.47	1345.62
1970    -69.9976      1452.44	1330.91
1795    -69.4974      1312.78	1224.18
2242    -68.9971      1626.29	1543.29
2412    -68.4969      1735.05	1675.51
2482    -67.9967      1770.29	1739.65
2523    -67.4964      1784.04	1784.02
2518    -66.9962      1764.9	1795.96
2696    -66.4959      1872.81	1939.33
2715    -65.9957      1868.89	1969.38
2709    -65.4955      1847.54	1981.23
2699    -64.9952      1823.43	1989.9
2695    -64.495      1803.32	2002.77
2684    -63.9947      1778.48	2010.19
2674    -63.4945      1754.31	2018.08
2672    -62.9943      1735.34	2031.79
2666    -62.494      1713.68	2042.26
2660    -61.9938      1691.98	2052.51
2653    -61.4936      1669.6	2061.76
2648    -60.9933      1648.43	2072.33
2639    -60.4931      1624.75	2079.55
2634    -59.9928      1603.49	2089.68
2628    -59.4926      1581.59	2098.8
2628    -58.9924      1563.21	2112.52
2618    -58.4921      1538.84	2117.99
2615    -57.9919      1518.56	2128.9
2612    -57.4916      1498.2	2139.61
2608    -56.9914      1477.21	2149.31
2603    -56.4912      1455.6	2157.97
2598    -55.9909      1433.95	2166.42
2600    -55.4907      1416.08	2180.53
2593    -54.9904      1393.24	2186.9
2595    -54.4902      1375.16	2200.67
2585    -53.99      1350.68	2204.06
2585    -53.4897      1331.4	2215.76
2580    -52.9895      1309.47	2222.99
2576    -52.4893      1288.03	2230.87
2581    -51.989      1270.97	2246.37
2577    -51.4888      1249.38	2253.88
2579    -50.9885      1230.62	2266.45
2574    -50.4883      1208.45	2272.69
2570    -49.9881      1186.72	2279.6
2571    -49.4878      1167.24	2290.76
2568    -48.9876      1145.87	2298.18
2568    -48.4873      1125.77	2308.09
2567    -47.9871      1105.15	2316.92
2570    -47.4869      1086.16	2329.2
2575    -46.9866      1067.87	2343.13
2579    -46.4864      1049.01	2356.02
2584    -45.9861      1030.4	2369.67
2584    -45.4859      1009.69	2378.57
2586    -44.9857      989.656	2389.14
2587    -44.4854      969.145	2398.61
2587    -43.9852      948.177	2406.98
2579    -43.485      924.27	2407.69
2584    -42.9847      904.976	2420.35
2549    -42.4845      871.849	2395.26
2543    -41.9842      848.911	2397.12
2262    -41.484      736.472	2138.75
0    -40.9838      0	0
2559    -40.4835      790.818	2433.74
2555    -39.9833      768.347	2436.73
2555    -39.483      747.054	2443.35
2558    -38.9828      726.557	2452.65
2420    -38.4826      667.086	2326.24
2293    -37.9823      612.82	2209.59
2283    -37.4821      590.926	2205.2
2284    -36.9818      571.911	2211.24
1797    -36.4816      434.768	1743.61
1783    -35.9814      416.268	1733.73
2311    -35.4811      519.908	2251.76
2307    -34.9809      499.372	2252.3
2313    -34.4807      480.947	2262.45
2330    -33.9804      464.575	2283.21
1391    -33.4802      265.444	1365.44
1399    -32.9799      254.977	1375.57
2328    -32.4797      404.303	2292.62
2336    -31.9795      385.602	2303.95
2343    -31.4792      366.578	2314.15
2348    -30.979      347.109	2322.2
2355    -30.4787      327.806	2332.07
2360    -29.9785      308.096	2339.8
2362    -29.4783      287.91	2344.39
2394    -28.978      271.065	2378.6
1408    -28.4778      147.21	1400.28
2399    -27.9775      229.992	2387.95
2394    -27.4773      208.709	2384.89
2401    -26.9771      188.439	2393.59
2405    -26.4768      167.824	2399.14
2417    -25.9766      147.615	2412.49
2430    -25.4764      127.238	2426.67
2438    -24.9761      106.407	2435.68
2463    -24.4759      86.0214	2461.5
1145    -23.9756      30.0026	1144.61
2444    -23.4754      42.7184	2443.63
2321    -22.9752      20.3163	2320.91
2270    -22.4749      0.0612752	2270
2481    -21.9747      -21.5829	2480.91
2502    -21.4744      -43.5971	2501.62
2503    -20.9742      -65.4514	2502.14
2513    -20.474      -87.6321	2511.47
2523    -19.9737      -109.98	2520.6
2187    -19.4735      -114.396	2184.01
2185    -18.9732      -133.328	2180.93
2561    -18.473      -178.572	2554.77
2225    -17.9728      -174.506	2218.15
2234    -17.4725      -194.64	2225.5
2611    -16.9723      -250.176	2598.99
2630    -16.4721      -274.831	2615.6
2632    -15.9718      -297.872	2615.09
2645    -15.4716      -322.264	2625.29
2660    -14.9713      -347.118	2637.25
2673    -14.4711      -371.927	2647
2698    -13.9709      -398.706	2668.38
2167    -13.4706      -338.926	2140.33
2190    -12.9704      -361.385	2159.98
2743    -12.4701      -476.23	2701.34
2800    -11.9699      -510.17	2753.13
2877    -11.4697      -548.865	2824.16
3058    -10.9694      -609.569	2996.63
0    -10.4692      0	0
3197    -9.96895      -691.853	3121.24
3254    -9.46871      -731.884	3170.62
3288    -8.96847      -767.46	3197.18
2989    -8.46823      -723.005	2900.24
3352    -7.96799      -839.162	3245.26
3355    -7.46775      -868.225	3240.71
3370    -6.96752      -900.48	3247.47
1806    -6.46728      -497.74	1736.06
1778    -5.96704      -504.919	1704.8
3338    -5.4668      -975.823	3192.18
3315    -4.96656      -996.726	3161.61
2933    -4.46632      -906.246	2789.48
2908    -3.96608      -922.621	2757.76
2971    -3.46584      -967.16	2809.17
2857    -2.96561      -953.586	2693.16
2818    -2.46537      -963.714	2648.09
2439    -1.96513      -854.07	2284.58
2341    -1.46489      -838.857	2185.54
2277    -0.96465      -834.443	2118.59
2245    -0.464411      -840.912	2081.56
2270    0.035828      -868.61	2097.24
1574    0.536067      -614.955	1448.9
2204    1.03631      -878.764	2021.23
2164    1.53654      -880.1	1976.95
2159    2.03678      -895.245	1964.64
2150    2.53702      -908.552	1948.6
2133    3.03726      -918.203	1925.25
2071    3.5375      -907.791	1861.44
2038    4.03774      -909.277	1823.91
2010    4.53798      -912.448	1790.96
2033    5.03822      -938.661	1803.33
495    5.53846      -232.37	437.069
495    6.03869      -236.175	435.024
505    6.53893      -244.81	441.693
1971    7.03917      -970.494	1715.51
1937    7.53941      -968.429	1677.53
1930    8.03965      -979.478	1662.99
1927    8.53989      -992.407	1651.8
1928    9.04013      -1007.31	1643.93
1921    9.54037      -1017.9	1629.14
1942    10.0406      -1043.36	1637.91
1862    10.5408      -1014.05	1561.65
1806    11.0411      -996.732	1506.04
1805    11.5413      -1009.28	1496.46
1831    12.0416      -1037.02	1509.02
419    12.5418      -240.313	343.236
405    13.042      -235.17	329.727
404    13.5423      -237.45	326.854
399    14.0425      -237.32	320.75
395    14.5428      -237.702	315.472
394    15.043      -239.838	312.592
391    15.5432      -240.709	308.123
391    16.0435      -243.389	306.011
386    16.5437      -242.904	299.99
383    17.0439      -243.604	295.544
385    17.5442      -247.459	294.939
384    18.0444      -249.374	292.008
387    18.5447      -253.881	292.085
385    19.0449      -255.095	288.36
382    19.5451      -255.594	283.894
386    20.0454      -260.764	284.602
386    20.5456      -263.237	282.315
386    21.0459      -265.691	280.008
390    21.5461      -270.903	280.556
392    22.0463      -274.742	279.608
392    22.5466      -277.172	277.2
395    23.0468      -281.72	276.873
404    23.5471      -290.599	280.657
405    24.0473      -293.762	278.799
413    24.5475      -302.035	281.681
420    25.0478      -309.642	283.764
1703    25.548      -1265.52	1139.59
1671    26.0482      -1251.45	1107.3
1681    26.5485      -1268.61	1102.9
1759    27.0487      -1337.49	1142.45
1785    27.549      -1367.33	1147.45
1688    28.0492      -1302.45	1073.77
1707    28.5494      -1326.53	1074.32
1696    29.0497      -1327.25	1055.86
1675    29.5499      -1319.86	1031.3
1663    30.0502      -1319.29	1012.44
